"DOTA_GoodGuys"   							"Light Forces"
"DOTA_BadGuys"    							"Dark Forces"

"GameTime"									"Game Time:"
"Goal"										"Special Events:"
"CreepLevelGoal"							"Creep Levels:"
"IncomingWaveGoal"							"Incoming Waves:"
"SpecialEventsGoal"							"Boss Events:"

"addonname"									"X Hero Siege"

"game_version_name"						"[BETA]"
"loading_screen_description"			"X Hero Siege will get a 100% free battlepass soon. The goal is to reward regular players on the long term by unlocking cosmetics and more! (Those rewards are unlocked in X Hero Siege only)."
"loading_screen_button"					"COMING SOON: X Hero Siege website."
"vote_gamemode"							"Difficulty vote:"

"loading_screen_promote"				"Translate X Hero Siege in your native language!"
"loading_screen_promote_description"	"You can translate X Hero Siege on Transifex website, it's easy! Just create an account and subscribe to a language. Give it a try! Don't forget to request your Discord role!"
"loading_screen_promote_button"			"Click here to redirect to Transifex!"

"loading_screen_patreon"						"Patreon"
"loading_screen_patreon_description"			"Support Frostrose Studio on Patreon and get in-game rewards! Battlepass XP boosters, companion following you on the battlefield, and more!"
"loading_screen_patreon_description_bottom"		"Donations support the development of the following mods:"
"loading_screen_patreon_modlist1"				"Frostrose Battlefield (unreleased)"
"loading_screen_patreon_modlist2"				"Dota IMBA"
"loading_screen_patreon_modlist3"				"X Hero Siege"
"loading_screen_patreon_modlist4"				"Pudge Wars"
"loading_screen_patreon_modlist5"				"Hero Line Wars"
"loading_screen_patreon_modlist6"				"Diretide (unofficial)"

"vote_difficulty"							"Difficulty Vote:"
"vote_difficulty_1"							"Easy: 150% Gold, 125% XP, 75% Damage."
"vote_difficulty_2"							"Normal: 110% Gold, 100% XP, 100% Damage."
"vote_difficulty_3"							"Hard: 100% Gold, 90% XP, 125% Damage."
"vote_difficulty_4"							"Extreme: 100% Gold, 75% XP, 150% Damage."
"vote_difficulty_5"							"Divine: 75% Gold, 60% XP, 200% Damage."

// Demo mode
"Refresh_Msg"								"Hero Refreshed"
"LevelUp_Msg"								"Hero Levelled Up"
"MaxLevel_Msg"								"Hero Maxed Out"
"FreeSpellsOn_Msg"							"Free Spells: On"
"FreeSpellsOff_Msg"							"Free Spells: Off"
"InvulnerabilityOn_Msg"						"Invulnerability: On"
"InvulnerabilityOff_Msg"					"Invulnerability: Off"
"SpawnAlly_Msg"								"Ally Spawned"
"SpawnEnemy_Msg"							"Enemy Spawned"
"MaxEnemies_Msg"							"Can't spawn more enemies"
"LevelUpEnemy_Msg"							"Enemies Levelled Up"
"SpawnDummyTarget_Msg"						"Dummy Target Spawned"
"RemoveSpawnedUnits_Msg"					"Removed Spawned Units"
"LaneCreepsOn_Msg"							"Lane Creeps: On"
"LaneCreepsOff_Msg"							"Lane Creeps: Off"		

"DemoOptions_MinimizeButton"				"Demo Options"
"DemoOptions_UnMinimizeButton"				"  >&#xD;&#xD;&#xD;&#xD;  >"
"Hero_ButtonCategory"						"Hero"
"Spawn_ButtonCategory"						"Spawn"
"Misc_ButtonCategory"						"Customize"
"Playback_ButtonCategory"					""

"Refresh_Button"							"Refresh"
"LevelUp_Button"							"Level Up"
"MaxLevel_Button"							"Level to Max"
"FranticOn_Msg"								"Frantic: On"
"FranticOff_Msg"							"Frantic: Off"
"FreeSpells_Button"							"Free Spells"
"Invulnerability_Button"					"Invulnerability"
"Enemy_Button"								"Enemy"
"LevelUpEnemy_Button"						"Level Up Enemy"
"Frantic_Button"							"Frantic"
"DummyTarget_Button"						"Dummy Target"
"RemoveSpawns_Button"						"Remove Spawns"
"SelectCosmetics_Button"					"Equip New Items"
"ChangeHero_Button"							"Select New Hero"
"PauseDemo_Button"							"Pause"
"QuitDemo_Button"							"Quit"


// Admin Mod
"credits_command"							"Mod Created by [Bear] Cookies #42"
"command"									"Commands:"
"tome_command"								"Buy Tomes: -bt"
"info_command"								"Info: -info"
"quest1_info"								"- Head to a lane to farm (0-40 min).\n- Defend the Castle against Incoming Waves of Darkness."
"quest2_info"								"- Once Barracks destroyed, head to the ice towers and destroy them.\n\n- Then prepare for the Final Wave, defeat it and go back to ice towers location to use Green Teleporters."
"quest3_info"								"- Defeat Magtheridon, and go through the gate that just opened.\n\n- Defeat Grom Hellscream, Illidan, Balanar, Admiral Proudmoore and head to Red Teleporters.\n\n- In This arena, defeat Arthas, Banehallow, Lich King and Spirit Master."
"quest4_info"								"- Special Event 1 (Muradin):\n Starts automatically after 12 minutes. You can't kill Muradin Bronzebeard. Just survive the 2 minutes countdown to receive 15 000 Bonus Gold.\n\n- Special Event 2 (Farm Event):\nStarts automatically after 24 minutes. Kill as many creeps as you can to earn gold and xp.\n\n- Special Event 3 (Ramero and Baristol):\nKill 500 creeps to enter the special arena. Kill Ramero for the 'Lightning Sword'.\n\n- Special Event 4 (Ramero 2):\nKill 750 creeps to enter the special arena. Kill Ramero for the 'Ring of Superiority'. This item is very helpful to complete the game."
