"DOTA_Tooltip_Ability_item_orb_of_darkness"							"Orb of Darkness"
"DOTA_Tooltip_ability_item_orb_of_darkness_Description"				"<h1><font color='#00CC00'>Active:</font> Enable/Disable</h1>Darkness Orb (Minion).\n<h1><font color='#FF7800'>Passive:</font> Darkness Orb (Minion)</h1>Your attacks will revive non-heroic enemies to fight for you, for 25 seconds."
"DOTA_Tooltip_ability_item_orb_of_darkness_bonus_hp"				"BONUS HP:"
"DOTA_Tooltip_ability_item_orb_of_darkness_bonus_armor"				"BONUS ARMOR:"
"DOTA_Tooltip_ability_item_orb_of_darkness_bonus_health_regen"		"BONUS HEALTH REGEN:"
"DOTA_Tooltip_ability_item_orb_of_darkness_bonus_damage"			"BONUS DAMAGE:"
"DOTA_Tooltip_ability_item_orb_of_darkness_duration"				"DURATION:"
"DOTA_Tooltip_ability_item_orb_of_darkness_max_units"				"MAX UNITS:"

"DOTA_Tooltip_Ability_item_orb_of_darkness2"						"Demon Gem"
"DOTA_Tooltip_ability_item_orb_of_darkness2_Description"			"<h1><font color='#00CC00'>Active:</font> Enable/Disable</h1>Darkness Orb (Minion).\n<h1><font color='#FF7800'>Passive:</font> Darkness Orb (Minion)</h1>Your attacks will revive non-heroic enemies to fight for you, for 25 seconds."
"DOTA_Tooltip_ability_item_orb_of_darkness2_bonus_hp"				"BONUS HP:"
"DOTA_Tooltip_ability_item_orb_of_darkness2_bonus_armor"			"BONUS ARMOR:"
"DOTA_Tooltip_ability_item_orb_of_darkness2_bonus_health_regen"		"BONUS HEALTH REGEN:"
"DOTA_Tooltip_ability_item_orb_of_darkness2_bonus_damage"			"BONUS DAMAGE:"
"DOTA_Tooltip_ability_item_orb_of_darkness2_duration"				"DURATION:"
"DOTA_Tooltip_ability_item_orb_of_darkness2_max_units"				"MAX UNITS:"

"DOTA_Tooltip_Ability_item_bracer_of_the_void"						"Bracer of the Void"
"DOTA_Tooltip_ability_item_bracer_of_the_void_Description"			"<h1><font color='#00CC00'>Active:</font> Enable/Disable</h1>Darkness Orb (Minion).\n<h1><font color='#FF7800'>Passive:</font> Darkness Orb (Minion)</h1>Your attacks will revive non-heroic enemies to fight for you, for 25 seconds."
"DOTA_Tooltip_ability_item_bracer_of_the_void_bonus_hp"				"BONUS HP:"
"DOTA_Tooltip_ability_item_bracer_of_the_void_bonus_armor"			"BONUS ARMOR:"
"DOTA_Tooltip_ability_item_bracer_of_the_void_bonus_health_regen"	"BONUS HEALTH REGEN:"
"DOTA_Tooltip_ability_item_bracer_of_the_void_bonus_damage"			"BONUS DAMAGE:"
"DOTA_Tooltip_ability_item_bracer_of_the_void_duration"				"DURATION:"
"DOTA_Tooltip_ability_item_bracer_of_the_void_max_units"			"MAX UNITS:"

"DOTA_Tooltip_modifier_orb_of_darkness_active"						"Darkness Rise"
"DOTA_Tooltip_modifier_orb_of_darkness_active_Description"			"Revive enemy units if dealing a fatal blow. Max units: 10."

"DOTA_Tooltip_modifier_darkness_unit"				"Darkness Rise"
"DOTA_Tooltip_modifier_darkness_unit_Description"	"This unit has been revived by Orb of Darkness."
