"game_version_name"							"Priestess of the Moon"
"loading_screen_description" 				"X Hero Siege is part of Frostrose Studio, directed by EarthSalamander."
"loading_screen_button"						"Frostrose Studio mods website."

"loading_screen_promote"				"Translate X Hero Siege in your native language!"
"loading_screen_promote_description"	"You can translate X Hero Siege on Transifex website, it's easy! Just create an account and subscribe to a language. Give it a try! Don't forget to request your Discord role!"
"loading_screen_promote_button"			"Click here to redirect to Transifex!"

"loading_screen_patreon"						"Patreon"
"loading_screen_patreon_description"			"Support Frostrose Studio on Patreon and get in-game rewards! Battlepass XP boosters, companion following you on the battlefield, and more!"
"loading_screen_patreon_description_bottom"		"Donations support the development of the following mods:"
"loading_screen_patreon_modlist1"				"Frostrose Battlefield (unreleased)"
"loading_screen_patreon_modlist2"				"Dota IMBA"
"loading_screen_patreon_modlist3"				"X Hero Siege"
"loading_screen_patreon_modlist4"				"Pudge Wars"
"loading_screen_patreon_modlist5"				"Hero Line Wars"
"loading_screen_patreon_modlist6"				"Diretide (unofficial)"

"votes"										"Votes"

"vote_gamemode"								"Game Mode:"
"vote_gamemode_description"					"Game Mode Vote"
"vote_gamemode_1"							"Classic"
"vote_gamemode_2"							"Reborn"

"vote_gamemode_1_description"				"Play the original X Hero Siege based on the Warcraft III version."
"vote_gamemode_2_description"				"Play the new X Hero Siege based on the Dota 2 version."

"vote_difficulty"							"Difficulty:"
"vote_difficulty_description"				"Difficulty Vote"
"vote_difficulty_1"							"Easy"
"vote_difficulty_2"							"Normal"
"vote_difficulty_3"							"Hard"
"vote_difficulty_4"							"Extreme"
"vote_difficulty_5"							"Divine"

"vote_difficulty_1_description"				"Gold: 150%\nExperience: 125%\nEnemies Damage: 75%"
"vote_difficulty_2_description"				"Gold: 110%\nExperience: 100%\nEnemies Damage: 100%"
"vote_difficulty_3_description"				"Gold: 100%\nExperience: 90%\nEnemies Damage: 125%"
"vote_difficulty_4_description"				"Gold: 100%\nExperience: 75%\nEnemies Damage: 150%"
"vote_difficulty_5_description"				"Gold: 75%\nExperience: 60%\nEnemies Damage: 200%"

"loading_screen_custom_games_1"			"This is the list of every custom games currently managed by Frostrose Studio:"
"loading_screen_custom_games_2"			"You can translate X Hero Siege in your native language on Transifex website, it's easy! Just create an account and subscribe to a language. Give it a try! Don't forget to request your Discord role!"
"loading_screen_custom_games_3"			"Support Frostrose Studio on Patreon and get in-game rewards! Battlepass XP boosters, companion following you on the battlefield, and more!"

"vote_settings"							"Vote Settings"
"vote_settings_description"				"Select match settings for this game."

"loading_screen_vote_button"				"Vote"
"loading_screen_change_vote"				"Change Vote"
"loading_screen_artwork_credit"			"Artwork credit: @duongcua_art"
"loading_screen_instagram_short"			"IG"

"loading_screen_players"					"Players"
"loading_screen_loaded_counter_default"	"0/0 loaded"
"loading_screen_loaded_counter"			"{loaded}/{total} loaded"
"loading_screen_waiting_counter_default"	"0 waiting"
"loading_screen_waiting_counter"			"{count} waiting"
"loading_screen_failed_counter_default"	"0 failed"
"loading_screen_failed_counter"			"{count} failed"
"loading_screen_match_starts_in_default"	"Match starts in 20s"
"loading_screen_match_starts_in"			"Match starts in {seconds}s"
"loading_screen_mark_ready"				"Mark Ready"
"loading_screen_ready"					"Ready"
"loading_screen_failed_returning_lobby"	"Failed ! Returning to lobby."
"loading_screen_launching_match"			"Launching match..."

"loading_screen_tab_custom_games"			"Custom Games"
"loading_screen_tab_transifex"				"Transifex"
"loading_screen_tab_patreon"				"Patreon"

"loading_screen_patreon_section_title"		"Frostrose Studio Patreon"
"loading_screen_patreon_section_subtitle"	"Support X Hero Siege and all our custom games"
"loading_screen_patreon_section_description" "Help us keep building maps, bosses, balance patches, and web features while keeping the game alive long-term."
"loading_screen_patreon_advantage_1"		"Battle Pass bonuses and supporter progression perks"
"loading_screen_patreon_advantage_2"		"Exclusive cosmetics and seasonal supporter rewards"
"loading_screen_patreon_advantage_3"		"Early news, direct feedback channel, and roadmap influence"
"loading_screen_patreon_support_note"		"Every contribution directly supports development time and live maintenance for Frostrose Studio projects."
"loading_screen_patreon_cta_button"		"Support on Patreon"

"loading_screen_loading"					"Loading..."
"loading_screen_unavailable"				"Unavailable"
"loading_screen_na"						"N/A"
"loading_screen_none"						"None"
"loading_screen_visible"					"Visible"
"loading_screen_hidden"					"Hidden"
"loading_screen_player"					"Player"
"loading_screen_you_suffix"				"(You)"

"loading_screen_player_profile"			"Player profile"
"loading_screen_battle_pass"				"Battle Pass"
"loading_screen_level"						"Level"
"loading_screen_xp"						"XP"
"loading_screen_title"						"Title"
"loading_screen_winrate"					"Winrate"
"loading_screen_season_winrate"			"Season Winrate"
"loading_screen_donator"					"Donator"
"loading_screen_rank"						"Rank"
"loading_screen_mmr_tier"					"MMR Tier"
"loading_screen_leaderboard"				"Leaderboard"
"loading_screen_connection"				"Connection"
"loading_screen_visibility"				"Visibility"
"loading_screen_tag"						"Tag"
"loading_screen_bp_short"					"BP"
"loading_screen_bp_rewards"				"BP Rewards"
"loading_screen_open_steam_profile"		"Open Steam Profile"
"loading_screen_open_website"				"Open Website"
"loading_screen_steam_id"					"Steam ID {steam_id}"
"loading_screen_steam_id_unavailable"		"Steam ID not available yet"
"loading_screen_profile_tooltip_open"		"Open detailed profile"

"loading_screen_connection_loaded"			"Loaded"
"loading_screen_connection_loading"		"Loading"
"loading_screen_connection_disconnected"	"Disconnected"
"loading_screen_connection_abandoned"		"Abandoned"
"loading_screen_connection_failed"			"Failed"
"loading_screen_connection_pending"		"Pending"

"loading_screen_group_failed"				"Failed"
"loading_screen_group_waiting"				"Waiting"
"loading_screen_group_ready"				"Ready"

"loading_screen_vote_word_single"			"vote"
"loading_screen_vote_word_plural"			"votes"
"loading_screen_donator_tier"				"Donator Tier {tier}"

"loading_screen_tools_loaded"				"[Tools] Loaded"
"loading_screen_tools_loading"				"[Tools] Loading"
"loading_screen_tools_pending"				"[Tools] Pending"
"loading_screen_tools_unknown"				"[Tools] Unknown"
"loading_screen_tools_disconnected"		"[Tools] Disconnected"
"loading_screen_tools_failed"				"[Tools] Failed"
"loading_screen_tools_abandoned"			"[Tools] Abandoned"

"donator_label_1"							"Lead-Developer"
"donator_label_2"							"Developer"
"donator_label_3"							"Administrator"
"donator_label_4"							"Ember Donator"
"donator_label_5"							"Golden Donator"
"donator_label_6"							"Donator"
"donator_label_7"							"Salamander Donator"
"donator_label_8"							"Icefrog Donator"
"donator_label_9"							"Gaben Donator"
"donator_label_10"							"Banned Player"
