"addon_game_name"													"X Hero Siege"

//Error Messages
"error_buy_tome_disabled"				"You are not allowed to buy tomes in this arena!"
"error_cant_lvlup"						"You can't level up this ability!"
"error_cant_afford_tomes"				"You don't have enough gold to afford tomes!"
"error_gold_full"						"Full gold! Spend your money!"
"error_shop_disabled"					"Shop disabled during special events!"
"error_cant_close_lane_player_count"	"You can't close this lane, a player is using it!"
"error_buy_tome_pause"					"You can't buy tome while the game is paused!"
"error_reincarnation_inventory_locked"	"You can't buy or move items while reincarnating!"
"error_dead_inventory_locked"			"You can't buy or move items while dead!"

"DOTA_GoodGuys"									"X Heroes"
"DOTA_BadGuys"									"Dark Forces"
"DOTA_Custom3"									"Light Warriors"
"DOTA_Custom4"									"Dark Warriors"

"DOTA_Chat_PlayerKilledGeneric"					"%s1 was just killed by Dark Forces!"
"DOTA_MiniKillcam_KilledByCustom1"				"Killed by Dark Forces!"

//HUD STUFF
"DOTA_XHS_Overhead_Reincarnation_In"	"REINCARNATION IN {seconds}s"
"DOTA_Hud_Error_tutorial_shop_not_in_range"		"Shop Not In Range!"
"DOTA_Hud_Error_error_no_usable_corpses"		"No usable corpse!"

//DUMMY
"DOTA_Tooltip_modifier_dummy_vulnerable"						"X HERO SIEGE"
"DOTA_Tooltip_modifier_dummy_vulnerable_Description"			"Be nice folks!"
"DOTA_Tooltip_modifier_dummy_vulnerable_wisp"					"WISP"
"DOTA_Tooltip_modifier_dummy_vulnerable_wisp_Description"		"Choose your hero!"
"DOTA_Tooltip_modifier_dummy_invulnerable_bis"					"BEASTS"
"DOTA_Tooltip_modifier_dummy_invulnerable_bis_Description"		"These ain't joking."

//VIP
"DOTA_Tooltip_ability_wisp_pick_random_hero"				"Random Hero"
"DOTA_Tooltip_ability_wisp_pick_random_hero_Description"	"Pick a random hero. Starting gold multiplied by 2."
"DOTA_Tooltip_ability_holdout_vip"							"<font color='#FFFFFF'>VIP Member</font>"
"DOTA_Tooltip_ability_holdout_vip_description"				"You are able to pick <font color='#FFFFFF'>VIP</font> heroes. <br><font color='#35b42b'>Thank you for supporting!</font>"
"DOTA_Tooltip_modifier_vip"									"VIP"
"DOTA_Tooltip_modifier_vip_Description"						"You are in the VIP list."
"DOTA_Tooltip_ability_ability_level_20"						"Level 20 Abilities"
"DOTA_Tooltip_ability_ability_level_20_Description"			"Abilities to the right are unlocked when the hero reaches level 20. Some replace existing abilities."

//BUILDINGS
"npc_dota_holdout_tower"						"Light Tower"
"xhs_tower_lane_1"								"Storm Tower"
"xhs_tower_lane_2"								"Dark Tower"
"dota_badguys_barracks"							"Dark Barracks"
"npc_dota_defender_fort"						"Castle"
"npc_tower_death"								"Death Tower"
"npc_tower_cold"								"Ice Tower"
"npc_dota_teleporter"							"Teleport Point"
"npc_dota_frozen_throne"						"The Frozen Throne"

//RUNES
"DOTA_Tooltip_ability_item_rune_armor"					"Armor Rune"
"DOTA_Tooltip_modifier_rune_armor"						"Armor Rune"
"DOTA_Tooltip_modifier_rune_armor_Description"			"Armor: %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"DOTA_Tooltip_ability_item_rune_immolation"				"Immolation Rune"
"DOTA_Tooltip_modifier_rune_immolation"					"Immolation Rune"
"DOTA_Tooltip_modifier_rune_immolation_Description"		"Deals periodic damage around the carrier."
"DOTA_Tooltip_modifier_xhs_rune_healing"				"Healing Rune"
"DOTA_Tooltip_modifier_xhs_rune_healing_Description"	"Health regeneration: +%dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% per second and %dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% max health per second. Mana regeneration: +%dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% per second and %dMODIFIER_PROPERTY_MANA_REGEN_TOTAL_PERCENTAGE%%% total mana regeneration."
"DOTA_Tooltip_modifier_xhs_rune_revitalization"			"Revitalization Rune"
"DOTA_Tooltip_modifier_xhs_rune_revitalization_Description"	"Cooldown reduction: %dMODIFIER_PROPERTY_COOLDOWN_PERCENTAGE%%%."
"DOTA_Tooltip_modifier_xhs_rune_restoration"			"Restoration Rune"
"DOTA_Tooltip_modifier_xhs_rune_restoration_Description"	"Restored %dMODIFIER_PROPERTY_TOOLTIP%%% of missing health and mana."
"DOTA_Tooltip_modifier_xhs_rune_second_wind"			"Second Wind Rune"
"DOTA_Tooltip_modifier_xhs_rune_second_wind_Description"	"Triggers below %dMODIFIER_PROPERTY_TOOLTIP%%% health, restoring health and mana and reducing incoming damage by %dMODIFIER_PROPERTY_TOOLTIP2%%%."
"DOTA_Tooltip_modifier_xhs_rune_second_wind_heal"		"Second Wind Recovery"
"DOTA_Tooltip_modifier_xhs_rune_second_wind_heal_Description"	"Rapidly restoring health and mana."
"DOTA_Tooltip_modifier_xhs_rune_second_wind_guard"		"Second Wind Guard"
"DOTA_Tooltip_modifier_xhs_rune_second_wind_guard_Description"	"Incoming damage reduced."
"DOTA_Tooltip_modifier_xhs_rune_barrier"				"Barrier Rune"
"DOTA_Tooltip_modifier_xhs_rune_barrier_Description"	"Absorbs incoming damage and grants health regeneration while active."
"DOTA_Tooltip_modifier_xhs_rune_retaliation"			"Retaliation Rune"
"DOTA_Tooltip_modifier_xhs_rune_retaliation_Description"	"Reflects %dMODIFIER_PROPERTY_TOOLTIP%%% of incoming damage back to attackers."
"DOTA_Tooltip_modifier_xhs_rune_bulwark"				"Bulwark Rune"
"DOTA_Tooltip_modifier_xhs_rune_bulwark_Description"	"Armor: +%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%. Magic resistance: +%dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."
"DOTA_Tooltip_modifier_xhs_rune_fortitude"				"Fortitude Rune"
"DOTA_Tooltip_modifier_xhs_rune_fortitude_Description"	"Grants %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%% status resistance and reduces incoming damage by %dMODIFIER_PROPERTY_TOOLTIP%%%."
"DOTA_Tooltip_modifier_xhs_rune_titan"					"Titan Rune"
"DOTA_Tooltip_modifier_xhs_rune_titan_Description"		"Max health: +%dMODIFIER_PROPERTY_TOOLTIP%%%. Damage dealt: +%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%. Model scale increased."
"DOTA_Tooltip_modifier_xhs_rune_fury"					"Fury Rune"
"DOTA_Tooltip_modifier_xhs_rune_fury_Description"		"Attack speed: +%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%. Spell amplification: +%dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%."
"DOTA_Tooltip_modifier_xhs_rune_siegebreaker"			"Siegebreaker Rune"
"DOTA_Tooltip_modifier_xhs_rune_siegebreaker_Description"	"Deals %dMODIFIER_PROPERTY_TOOLTIP%%% more damage to creeps and summons."
"DOTA_Tooltip_modifier_xhs_rune_storm"					"Storm Rune"
"DOTA_Tooltip_modifier_xhs_rune_storm_Description"		"Periodically strikes nearby enemies with lightning."
"DOTA_Tooltip_modifier_xhs_rune_bounty_surge"			"Bounty Surge Rune"
"DOTA_Tooltip_modifier_xhs_rune_bounty_surge_Description"	"Creep bounty bonus: +%dMODIFIER_PROPERTY_TOOLTIP%%%."
"DOTA_Tooltip_modifier_xhs_rune_momentum"				"Momentum Rune"
"DOTA_Tooltip_modifier_xhs_rune_momentum_Description"	"Movement speed: +%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Creep gold and XP: +%dMODIFIER_PROPERTY_TOOLTIP%%%."

//ORBS
"DOTA_Tooltip_modifier_astral_core_ethereal"				"Astral Ethereal"
"DOTA_Tooltip_modifier_astral_core_ethereal_Description"	"Immune to physical damage, disarmed, slowed, and vulnerable to spell damage."
"DOTA_Tooltip_modifier_orb_of_venom_xhs_active"			"Venom Orb Active"
"DOTA_Tooltip_modifier_orb_of_venom_xhs_active_Description"	"Attacks poison enemies."
"DOTA_Tooltip_modifier_orb_of_venom_poison"				"Venom Poison"
"DOTA_Tooltip_modifier_orb_of_venom_poison_Description"	"Taking poison damage over time and losing armor."
"DOTA_Tooltip_modifier_orb_of_lightning_active"			"Lightning Orb Active"
"DOTA_Tooltip_modifier_orb_of_lightning_active_Description"	"Attacks can root and disarm enemies when the orb effect triggers."
