//CENTURION
"DOTA_Tooltip_ability_holdout_dark_pact"								"Dark Pact"
"DOTA_Tooltip_ability_holdout_dark_pact_Description"					"After a short delay, Centurion uses the knowledge of dragons to purge most negative debuffs and dealing damage to enemy units around him and to himself. Also heals Centurion."
"DOTA_Tooltip_ability_holdout_dark_pact_Lore"							"Slithereen are capable of quickly regrowing appendages, in case of critical injury, to save their own lives."
"DOTA_Tooltip_ability_holdout_dark_pact_Note0"							"1.5 seconds after cast, a series of 10 pulses separated by 0.1 seconds deal the damage."
"DOTA_Tooltip_ability_holdout_dark_pact_Note1"							"Each pulse also removes buffs from Centurion."
"DOTA_Tooltip_ability_holdout_dark_pact_Note2"							"You can't kill yourself with this skill."
"DOTA_Tooltip_ability_holdout_dark_pact_delay"							"DELAY:"
"DOTA_Tooltip_ability_holdout_dark_pact_radius"							"RADIUS:"
"DOTA_Tooltip_ability_holdout_dark_pact_total_heal"						"HEAL/DAMAGE:"

"DOTA_Tooltip_ability_holdout_sea_dragon_form"							"Sea Dragon Form"
"DOTA_Tooltip_ability_holdout_sea_dragon_form_Description"				"Centurion takes the form of one of two powerful sea dragons, increasing his damage and speed, while granting him new powers.\n<font color=\"#9acd32\">LEVEL 1 Green Dragon</font> - Corrosive Breath: attacks deal 20 poison damage over 5 seconds. Works on structures.\n<font color=\"#828282\">LEVEL 3 Black Dragon</font> - Stun Breath: Give a chance to stun the primary target for 0.2 seconds.\nCorrosive Breath works on both levels."
"DOTA_Tooltip_ability_holdout_sea_dragon_form_Lore"						"The dormant dragon power springs forth from within Centurion, combining the powers of a legendary Naga with a legendary Dragon."
"DOTA_Tooltip_ability_holdout_sea_dragon_form_Note0"					"Corrosive Breath poison damage is lethal."
"DOTA_Tooltip_ability_holdout_sea_dragon_form_Note1"					"Stun Breath stacks with Unique Attack Modifiers."
"DOTA_Tooltip_ability_holdout_sea_dragon_form_duration"					"DURATION:"
"DOTA_Tooltip_ability_holdout_sea_dragon_form_bonus_movement_speed"		"BONUS MOVE SPEED:"
"DOTA_Tooltip_ability_holdout_sea_dragon_form_bonus_attack_range"		"BONUS ATTACK RANGE:"
"DOTA_Tooltip_ability_holdout_sea_dragon_form_bonus_damage"				"BONUS DAMAGE:"
"DOTA_Tooltip_ability_holdout_sea_dragon_form_bash_chance"				"%BASH CHANCE:"
"DOTA_Tooltip_ability_holdout_sea_dragon_form_stun_duration"			"BASH DURATION:"

"DOTA_Tooltip_modifier_corrosive_breath_attack_datadriven"				"Corrosive Breath"
"DOTA_Tooltip_modifier_corrosive_breath_attack_datadriven_Description"	"Deals poison damage on enemy units attacked."

"DOTA_Tooltip_modifier_bash_attack_datadriven"							"Stun Breath"
"DOTA_Tooltip_modifier_bash_attack_datadriven_Description"				"Has a chance to stun enemy units attacked."

"DOTA_Tooltip_ability_holdout_dark_dimension"							"Dark Dimension"
"DOTA_Tooltip_ability_holdout_dark_dimension_Note0"						"Allies are not damaged."
"DOTA_Tooltip_ability_holdout_dark_dimension_Description"				"After a delay, Centurion uses the knowledge of Dark Rift to deal massive damage around himself, damaging himself for a percentage of his Health."
"DOTA_Tooltip_ability_holdout_dark_dimension_delay"						"DELAY:"
"DOTA_Tooltip_ability_holdout_dark_dimension_radius"					"RADIUS:"
"DOTA_Tooltip_ability_holdout_dark_dimension_self_damage_percent"		"%SELF DAMAGE:"
