// Canonical Supporter Pass 2026 UI and reward localization.
// Generated mechanically from the reviewed 2026 localization snapshot.
"xhs_sp_title" "Supporter Pass"
"xhs_sp_tab_overview" "Overview"
"xhs_sp_tab_achievements" "Achievements"
"xhs_sp_tab_rewards" "Rewards"
"xhs_sp_tab_shop" "Shop"
"xhs_sp_tab_armory" "Armory"
"xhs_sp_tab_settings" "Settings"
"xhs_sp_player" "Player"
"xhs_sp_free_player" "Free Player"
"xhs_sp_free" "Free"
"xhs_sp_tier" "Tier"
"xhs_sp_tier_value" "Tier {tier}"
"xhs_sp_level_value" "Level {level}"
"xhs_sp_season_level" "Season Level"
"xhs_sp_season_level_value" "Season Level {level}"
"xhs_sp_global_xp" "Global XP"
"xhs_sp_supporter_xp" "Supporter XP"
"xhs_sp_xp" "XP"
"xhs_sp_fragments" "Fragments"
"xhs_sp_fragments_lower" "fragments"
"xhs_sp_achievements_eyebrow" "Permanent Legacy"
"xhs_sp_achievements_title" "XHS Achievements"
"xhs_sp_achievements_intro" "Turn a decade of sieges into permanent milestones. Earn fragments, build your achievement score, and display the feats that define your account."
"xhs_sp_achievement_score" "Achievement Score"
"xhs_sp_achievement_record_holder" "World Record Holder"
"xhs_sp_achievement_record_worldwide" "Worldwide"
"xhs_sp_achievement_record_value" "Record"
"xhs_sp_achievement_completion" "Completed"
"xhs_sp_achievement_filter_all" "All Achievements"
"xhs_sp_achievement_filter_progress" "In Progress"
"xhs_sp_achievement_filter_complete" "Completed"
"xhs_sp_achievement_filter_coming" "Coming Soon"
"xhs_sp_achievement_rank_locked" "Locked"
"xhs_sp_achievement_rank_bronze" "Bronze"
"xhs_sp_achievement_rank_silver" "Silver"
"xhs_sp_achievement_rank_gold" "Gold"
"xhs_sp_achievement_rank_xhs" "XHS Absolute"
"xhs_sp_achievement_rank_absolute" "Achievement Complete"
"xhs_sp_achievement_secret" "A secret waits beyond the veil."
"xhs_sp_achievement_complete" "Complete"
"xhs_sp_achievement_unlocked" "Achievement Unlocked"
"xhs_sp_achievement_reveal_all" "Reveal All"
"xhs_sp_achievement_remaining" "{count} more achievements waiting"
"xhs_sp_achievement_coming_in" "Coming in {release}"
"xhs_sp_achievement_future_update" "a future update"
"xhs_sp_achievement_hero_complete" "Complete"
"xhs_sp_achievement_requirements" "Requirements"
"xhs_sp_achievement_requirement_eligible" "Eligible matches only: no XHS bots, cheats, Tools Mode, abandons, or disconnects."
"xhs_achievement_veteran_defender_title" "Veteran Defender"
"xhs_achievement_veteran_defender_description" "Complete X Hero Siege runs."
"xhs_achievement_veteran_defender_requirement" "Finish an X Hero Siege run."
"xhs_achievement_victory_march_title" "Victory March"
"xhs_achievement_victory_march_description" "Win X Hero Siege runs."
"xhs_achievement_victory_march_requirement" "Win an X Hero Siege run."
"xhs_achievement_endless_horde_title" "Endless Horde"
"xhs_achievement_endless_horde_description" "Cut through the invading horde."
"xhs_achievement_endless_horde_requirement" "Defeat hostile units during X Hero Siege runs."
"xhs_achievement_full_company_title" "Full Company"
"xhs_achievement_full_company_description" "Win with four or more human defenders."
"xhs_achievement_full_company_requirement" "Win the run."
"xhs_achievement_full_company_requirement_2" "Have at least four human defenders in the match."
"xhs_achievement_event_veteran_title" "Event Veteran"
"xhs_achievement_event_veteran_description" "Complete special events across your campaigns."
"xhs_achievement_event_veteran_requirement" "Complete Muradin, Frost Infernal, Spirit Beast, Ramero & Baristol, or Sogat events."
"xhs_achievement_all_hero_challenge_title" "All-Hero Challenge"
"xhs_achievement_all_hero_challenge_description" "Win with every playable XHS hero."
"xhs_achievement_all_hero_challenge_requirement" "Win a run with each distinct playable XHS hero."
"xhs_achievement_all_hero_challenge_requirement_2" "A hero only counts after a victory with that hero."
"xhs_achievement_siege_ascendant_title" "Siege Ascendant"
"xhs_achievement_siege_ascendant_description" "Claim victories across increasingly brutal difficulties."
"xhs_achievement_siege_ascendant_requirement" "Win the run; a higher difficulty also counts toward every lower difficulty."
"xhs_achievement_siege_ascendant_requirement_2" "Bronze: 10 wins on D2+ • Silver: 25 wins on D3+."
"xhs_achievement_siege_ascendant_requirement_3" "Gold: 50 wins on D4+ • XHS Absolute: 100 wins on D5."
"xhs_achievement_the_ancient_stands_title" "The Ancient Stands"
"xhs_achievement_the_ancient_stands_description" "Win while preserving increasingly perfect Ancient health."
"xhs_achievement_the_ancient_stands_requirement" "Win the run."
"xhs_achievement_the_ancient_stands_requirement_2" "Finish with at least 70% / 80% / 90% / 100% Ancient health for Bronze / Silver / Gold / XHS Absolute."
"xhs_achievement_borrowed_time_title" "Borrowed Time"
"xhs_achievement_borrowed_time_description" "Win on difficulty 3 or higher without dying."
"xhs_achievement_borrowed_time_requirement" "Win on Difficulty 3 or higher."
"xhs_achievement_borrowed_time_requirement_2" "Do not die during the run."
"xhs_achievement_ahead_of_schedule_title" "Ahead of Schedule"
"xhs_achievement_ahead_of_schedule_description" "Win difficulty 5 before the siege timer expires."
"xhs_achievement_ahead_of_schedule_requirement" "Win on Difficulty 5."
"xhs_achievement_ahead_of_schedule_requirement_2" "Finish within 90 / 80 / 70 / 60 minutes for Bronze / Silver / Gold / XHS Absolute."
"xhs_achievement_one_against_the_siege_title" "One Against the Siege"
"xhs_achievement_one_against_the_siege_description" "Win alone from difficulty 2 through difficulty 5."
"xhs_achievement_one_against_the_siege_requirement" "Be the only human defender and win the run."
"xhs_achievement_one_against_the_siege_requirement_2" "Bronze: D2+ • Silver: D3+ • Gold: D4+ • XHS Absolute: D5."
"xhs_achievement_boss_breaker_title" "Boss Breaker"
"xhs_achievement_boss_breaker_description" "Deal damage to X Hero Siege bosses."
"xhs_achievement_boss_breaker_requirement" "Deal damage to XHS bosses."
"xhs_achievement_lifebringer_title" "Lifebringer"
"xhs_achievement_lifebringer_description" "Restore health to defenders."
"xhs_achievement_lifebringer_requirement" "Accumulate self-healing during X Hero Siege runs."
"xhs_achievement_centaurs_retaliation_title" "Centaur's Retaliation"
"xhs_achievement_centaurs_retaliation_description" "Endure impossible punishment and remain standing."
"xhs_achievement_centaurs_retaliation_requirement" "Accumulate damage taken during X Hero Siege runs."
"xhs_achievement_harvest_of_war_title" "Harvest of War"
"xhs_achievement_harvest_of_war_description" "Defeat enemies during the farm event."
"xhs_achievement_harvest_of_war_requirement" "Defeat enemies during the Farm Event."
"xhs_achievement_tome_scholar_title" "Tome Scholar"
"xhs_achievement_tome_scholar_description" "Accumulate permanent attributes through tomes."
"xhs_achievement_tome_scholar_requirement" "Gain permanent attributes from tomes."
"xhs_achievement_first_victory_title" "First Victory"
"xhs_achievement_first_victory_description" "Win your first eligible X Hero Siege run."
"xhs_achievement_first_victory_requirement" "Win one eligible X Hero Siege run."
"xhs_achievement_muradins_trial_title" "Muradin's Trial"
"xhs_achievement_muradins_trial_description" "Survive Muradin's challenge."
"xhs_achievement_muradins_trial_requirement" "Survive Muradin's challenge."
"xhs_achievement_frost_infernal_title" "Frost Infernal"
"xhs_achievement_frost_infernal_description" "Defeat the Frost Infernal."
"xhs_achievement_frost_infernal_requirement" "Defeat the Frost Infernal."
"xhs_achievement_spirit_beast_title" "Spirit Beast"
"xhs_achievement_spirit_beast_description" "Defeat the Spirit Beast."
"xhs_achievement_spirit_beast_requirement" "Defeat the Spirit Beast."
"xhs_achievement_ramero_baristol_title" "Ramero & Baristol"
"xhs_achievement_ramero_baristol_description" "Prevail in Ramero and Baristol's arena."
"xhs_achievement_ramero_baristol_requirement" "Win Ramero and Baristol's arena."
"xhs_achievement_sogats_fall_title" "Sogat's Fall"
"xhs_achievement_sogats_fall_description" "Defeat Sogat."
"xhs_achievement_sogats_fall_requirement" "Defeat Sogat."
"xhs_achievement_hellscream_silenced_title" "Hellscream Silenced"
"xhs_achievement_hellscream_silenced_description" "Silence the true Hellscream for good."
"xhs_achievement_hellscream_silenced_requirement" "Defeat the true Hellscream."
"xhs_achievement_pit_lord_falls_title" "Pit Lord Falls"
"xhs_achievement_pit_lord_falls_description" "Defeat the Pit Lord."
"xhs_achievement_pit_lord_falls_requirement" "Defeat the Pit Lord."
"xhs_achievement_four_stand_as_one_title" "Four Stand as One"
"xhs_achievement_four_stand_as_one_description" "Win with at least four human defenders."
"xhs_achievement_four_stand_as_one_requirement" "Win the run."
"xhs_achievement_four_stand_as_one_requirement_2" "Have at least four human defenders in the match."
"xhs_achievement_perfect_campaign_title" "Perfect Campaign"
"xhs_achievement_perfect_campaign_description" "Complete every required campaign objective."
"xhs_achievement_perfect_campaign_requirement" "Complete every required campaign objective."
"xhs_achievement_perfect_campaign_requirement_2" "Win the run."
"xhs_achievement_no_one_falls_title" "No One Falls"
"xhs_achievement_no_one_falls_description" "Win without any human player dying."
"xhs_achievement_no_one_falls_requirement" "Win the run."
"xhs_achievement_no_one_falls_requirement_2" "No human defender may die."
"xhs_achievement_power_unspent_title" "Power Unspent"
"xhs_achievement_power_unspent_description" "Win without personally consuming a tome or potion."
"xhs_achievement_power_unspent_requirement" "Win the run."
"xhs_achievement_power_unspent_requirement_2" "Do not personally use any tome or potion."
"xhs_achievement_see_through_the_lie_title" "See Through the Lie"
"xhs_achievement_see_through_the_lie_description" "Defeat the true Hellscream without damaging a single clone."
"xhs_achievement_see_through_the_lie_requirement" "Defeat the true Hellscream and win the run."
"xhs_achievement_see_through_the_lie_requirement_2" "Do not damage a false clone."
"xhs_achievement_sealed_supplies_title" "Sealed Supplies"
"xhs_achievement_sealed_supplies_description" "Complete the campaign without opening its consumable reserve."
"xhs_achievement_sealed_supplies_requirement" "Complete and win the full campaign."
"xhs_achievement_sealed_supplies_requirement_2" "No human defender may use a reserve consumable."
"xhs_achievement_old_school_defender_title" "Old School Defender"
"xhs_achievement_old_school_defender_description" "Complete the returning Classic campaign."
"xhs_achievement_old_school_defender_requirement" "Complete the Classic campaign after it returns in 4.1."
"xhs_achievement_classic_perfection_title" "Classic Perfection"
"xhs_achievement_classic_perfection_description" "Master the returning Classic campaign."
"xhs_achievement_classic_perfection_requirement" "Master the Classic campaign after it returns in 4.1."
"xhs_achievement_against_the_clock_title" "Against the Clock"
"xhs_achievement_against_the_clock_description" "Complete a Time Trial run."
"xhs_achievement_against_the_clock_requirement" "Complete a Time Trial run after the mode arrives in 4.1."
"xhs_achievement_clockbreaker_title" "Clockbreaker"
"xhs_achievement_clockbreaker_description" "Master the XHS Time Trial."
"xhs_achievement_clockbreaker_requirement" "Master the Time Trial after the mode arrives in 4.1."
"xhs_achievement_second_oath_title" "Second Oath"
"xhs_achievement_second_oath_description" "Return the fallen to service once more."
"xhs_achievement_second_oath_requirement" "Use the returning revive feature after it arrives in 4.3."
"xhs_achievement_divine_pedestal_title" "Divine Pedestal"
"xhs_achievement_divine_pedestal_description" "Beyond the frozen veil, something ancient awaits the worthy."
"xhs_achievement_divine_pedestal_requirement" "Prove yourself worthy beyond the frozen veil in 4.3."
"xhs_sp_daily_cap" "Daily Cap"
"xhs_sp_daily_earnings" "Daily Fragments (Gameplay + Quest Potential)"
"xhs_sp_xp_boost" "XP Boost"
"xhs_sp_vote_power" "Vote Power"
"xhs_sp_vote" "{count} vote"
"xhs_sp_votes" "{count} votes"
"xhs_sp_supporter_tiers" "Supporter Tiers"
"xhs_sp_supporter_tiers_note" "Monthly fragments + identity color + setup vote power"
"xhs_sp_season_rewards" "Season Rewards"
"xhs_sp_season_rewards_note" "50 Free rewards and 50 Supporter rewards"
"xhs_sp_fragment_shop" "Fragment Shop"
"xhs_sp_featured_rotation" "Featured rotation"
"xhs_sp_armory" "Armory"
"xhs_sp_armory_note" "Unlocked cosmetics"
"xhs_sp_settings" "Settings"
"xhs_sp_settings_note" "Visibility and cosmetics"
"xhs_sp_unsaved_changes" "Unsaved changes"
"xhs_sp_saving_settings" "Saving settings..."
"xhs_sp_cancel" "Cancel"
"xhs_sp_save" "Save"
"xhs_sp_done" "Done."
"xhs_sp_action_failed" "Action failed."
"xhs_sp_action_timeout" "The request timed out."
"xhs_sp_current_tier" "Current Tier"
"xhs_sp_already_have_tier" "You already have this tier"
"xhs_sp_active_on_account" "Active on your account"
"xhs_sp_support_on_patreon" "Support on Patreon"
"xhs_sp_premium_cta_eyebrow" "Premium Track"
