"lang"
{
	"Language"	"Polish"
	"Tokens"
	{
		// DO NOT EDIT THIS FILE, CHANGES WILL BE LOST
		"DOTA_Tooltip_ability_roshan_stormbolt_Description"                                            "Rzuca we wroga magicznym młotem.Po uderzeniu wrogowie w %bolt_aoe% promień promienia %AbilityDamage% magiczne obrażenia i zostają ogłuszeni %bolt_stun_duration% sekundy."
		"DOTA_Tooltip_ability_roshan_stormbolt_bolt_speed"                                             "PRĘDKOŚĆ POCISKU:"
		"DOTA_Tooltip_ability_roshan_stormbolt_bolt_aoe"                                               "PROMIEŃ:"
		"DOTA_Tooltip_ability_roshan_stormbolt_vision_radius"                                          "PROMIeń WIZJI:"
		"DOTA_Tooltip_ability_campfire"                                                                "Ognisko"
		"DOTA_Tooltip_ability_campfire_Description"                                                    "Przywraca zdrowie i manę pobliskim sojuszniczym jednostkom."
		"DOTA_Tooltip_ability_campfire_aura_radius"                                                    "PROMIeń AURY:"
		"DOTA_Tooltip_ability_campfire_aura_mana_regen"                                                "REGENERACJA MANY AURA:"
		"DOTA_Tooltip_ability_campfire_aura_hp_regen"                                                  "REGENERACJA ZDROWIA AURA:"
		"DOTA_Tooltip_ability_treasure_chest"                                                          "Skrzynia skarbów"
		"DOTA_Tooltip_ability_treasure_chest_Description"                                              "Cel zniszczalny, który po zniszczeniu uwalnia zgromadzone nagrody."
		"DOTA_Tooltip_ability_creature_techies_land_mine"                                              "Mina lądowa Techies"
		"DOTA_Tooltip_ability_creature_techies_land_mine_Description"                                  "Podkłada wybuchową minę, która wybucha, gdy wróg się zbliży."
		"DOTA_Tooltip_ability_creature_techies_land_mine_radius"                                       "PROMIEŃ:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_proximity_threshold"                          "PRÓG ZBLIŻENIA:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_damage"                                       "OBRAŻENIA:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_burn_duration"                                "CZAS PALENIA:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_building_damage_pct"                          "% USZKODZEŃ BUDYNKU:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_activation_delay"                             "OPÓŹNIENIE AKTYWACJI:"
		"DOTA_Tooltip_ability_holdout_death_coil_alt_projectile_speed"                                 "PRĘDKOŚĆ POCISKU:"
		"DOTA_Tooltip_ability_holdout_frozen_tempest_nova_tick"                                        "TYK NOVA:"
		"DOTA_Tooltip_ability_holdout_lordaeron_smash_push_length"                                     "DŁUGOŚĆ NACIŚNIĘCIA:"
		"DOTA_Tooltip_ability_holdout_frost_breath_wave_speed"                                         "PRĘDKOŚĆ FALI:"
		"DOTA_Tooltip_ability_holdout_frost_breath_knockback_distance_max"                             "MAKSYMALNA ODLEGŁOŚĆ ODRZUCENIA:"
		"DOTA_Tooltip_ability_holdout_frost_breath_knockback_height"                                   "WYSOKOŚĆ ODRZUCENIA:"
		"DOTA_Tooltip_ability_holdout_frost_breath_duration_per_second"                                "CZAS NA SEKUNDĘ:"
		"DOTA_Tooltip_ability_holdout_frost_chaos_tick_rate"                                           "WSPÓŁCZYNNIK TICKOWANIA:"
		"DOTA_Tooltip_ability_holdout_healing_wave_max_targets"                                        "MAKS. CELE:"
		"DOTA_Tooltip_ability_holdout_healing_wave_damage"                                             "OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_healing_wave_heal_pct"                                           "% MAKSYMALNEGO LECZENIA ZDROWIA:"
		"DOTA_Tooltip_ability_holdout_fan_of_light_projectile_speed"                                   "PRĘDKOŚĆ POCISKU:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_wave_speed"                                       "PRĘDKOŚĆ FALI:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_wave_width"                                       "SZEROKOŚĆ FALI:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_vision_aoe"                                       "WIZJA AOE:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_wave_range"                                       "ZAKRES FALI:"
		"DOTA_Tooltip_ability_holdout_taunt_radius"                                                    "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_taunt_max_units"                                                 "MAKSYMALNE JEDNOSTKI:"
		"DOTA_Tooltip_ability_xhs_brewmaster_drunken_haze_projectile_speed"                            "PRĘDKOŚĆ POCISKU:"
		"DOTA_Tooltip_ability_holdout_dragon_slave_speed"                                              "PRĘDKOŚĆ:"
		"DOTA_Tooltip_ability_holdout_permanent_immolation_radius"                                     "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_permanent_immolation_damage_per_tick"                            "OBRAŻENIA NA SEKUNDĘ:"
		"DOTA_Tooltip_ability_holdout_permanent_immolation_tick_time"                                  "WSPÓŁCZYNNIK TICKOWANIA:"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_start_radius"                                      "PROMIeń STARTU:"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_end_radius"                                        "PROMIeń KOŃCOWY:"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_speed"                                             "PRĘDKOŚĆ:"
		"DOTA_Tooltip_ability_holdout_chaos_travel_speed"                                              "PRĘDKOŚĆ JAZDY:"
		"DOTA_Tooltip_ability_holdout_chaos_vision_distance"                                           "ODLEGŁOŚĆ WIDZENIA:"
		"DOTA_Tooltip_ability_holdout_chaos_end_vision_duration"                                       "CZAS TRWANIA WIZJI KOŃCOWEJ:"
		"DOTA_Tooltip_ability_holdout_chaos_burn_dps_inverval"                                         "INWERSJA SPALANIA DPS:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_speed"                                          "PRĘDKOŚĆ WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_death_coil_tooltip_slow_duration"                                "CZAS WOLNOŚCI PODPOWIEDNIKA:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_slow"                                           "%WOLNOŚĆ WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_dot_duration"                                   "CZAS TRWANIA PUNKTY WYBUCHU:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_dot_damage"                                     "OBRAŻENIA WYBUCHU PUNKTY:"
		"DOTA_Tooltip_ability_holdout_sleep_nightmare_dot_interval"                                    "INTERWAŁ PUNKTY KOSZMARU:"
		"DOTA_Tooltip_ability_holdout_sleep_animation_rate"                                            "SZYBKOŚĆ ANIMACJI:"
		"DOTA_Tooltip_ability_holdout_sleep_aura_radius"                                               "PROMIeń AURY:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_duration"                                       "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_seek_radius"                                    "SZUKAJ PROMIENIA:"
		"DOTA_Tooltip_ability_holdout_spiritual_beast_value"                                           "WARTOŚĆ:"
		"DOTA_Tooltip_ability_holdout_spiritual_beast_special_bonus_facet_lycan_spirit_wolves"         "SPECJALNY BONUSOWY Aspekt WILKÓW LYKANÓW:"
		"DOTA_Tooltip_ability_holdout_cripple_extra_incoming_damage"                                   "%DODATKOWE OBRAŻENIA PRZYCHODZĄCE:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_spirit_speed"                                     "PRĘDKOŚĆ DUCHA:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_max_distance"                                     "MAKSYMALNA ODLEGŁOŚĆ:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_give_up_distance"                                 "PODDAJ SIĘ ODLEGŁOŚCIĄ:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_min_damage"                                       "MINIMALNE OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_max_damage"                                       "MAKSYMALNE OBRAŻENIA:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_delay_between_spirits"                            "OPÓŹNIENIE MIĘDZY DUCHAMI:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_min_time_between_attacks"                         "MIN CZAS POMIĘDZY ATAKAMI:"
		"DOTA_Tooltip_ability_holdout_evasion_transparency_fade"                                       "PRZEZROCZYSTOŚĆ ZGADZA SIĘ:"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_damage_modifier"                                 "MODYFIKATOR OBRAŻEŃ:"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_split_shot_bonus_range"                          "ZAKRES BONUSÓW SPLIT SHOT:"
		"DOTA_Tooltip_ability_holdout_endurance_aura_endurance_bonus_movement_speed"                   "PREMIA DO PRĘDKOŚCI RUCHU% WYTRZYMAŁOŚCI:"
		"DOTA_Tooltip_ability_holdout_active_immolation_tick_time"                                     "WSPÓŁCZYNNIK TICKOWANIA:"
