"lang"
{
	"Language"	"Russian"
	"Tokens"
	{
		// GENERATED FROM THE COMPLETE XHS TRANSIFEX CATALOG
		"DOTA_Tooltip_ability_roshan_stormbolt_Description"                                               "Бросает во врага волшебный молот.При ударе враги в %bolt_aoe% радиус %AbilityDamage% магический урон и оглушены на %bolt_stun_duration% секунды."
		"DOTA_Tooltip_ability_roshan_stormbolt_bolt_speed"                                                "СКОРОСТЬ СНАРЯДА:"
		"DOTA_Tooltip_ability_roshan_stormbolt_bolt_aoe"                                                  "РАДИУС:"
		"DOTA_Tooltip_ability_roshan_stormbolt_vision_radius"                                             "РАДИУС ВИДЕНИЯ:"
		"DOTA_Tooltip_ability_campfire"                                                                   "Костер"
		"DOTA_Tooltip_ability_campfire_Description"                                                       "Восстанавливает здоровье и ману ближайшим союзным юнитам."
		"DOTA_Tooltip_ability_campfire_aura_radius"                                                       "РАДИУС АУРЫ:"
		"DOTA_Tooltip_ability_campfire_aura_mana_regen"                                                   "АУРА РЕГЕНЕРАЦИЯ МАНА:"
		"DOTA_Tooltip_ability_campfire_aura_hp_regen"                                                     "ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ АУРЫ:"
		"DOTA_Tooltip_ability_treasure_chest"                                                             "Сундук с сокровищами"
		"DOTA_Tooltip_ability_treasure_chest_Description"                                                 "Разрушаемая цель, при уничтожении которой высвобождаются хранящиеся награды."
		"DOTA_Tooltip_ability_creature_techies_land_mine"                                                 "Техничная наземная мина"
		"DOTA_Tooltip_ability_creature_techies_land_mine_Description"                                     "Устанавливает взрывную мину, которая взрывается, когда враг приближается."
		"DOTA_Tooltip_ability_creature_techies_land_mine_radius"                                          "РАДИУС:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_proximity_threshold"                             "ПОРОГ БЛИЗОСТИ:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_damage"                                          "УРОН:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_burn_duration"                                   "ПРОДОЛЖИТЕЛЬНОСТЬ ГОРЕНИЯ:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_building_damage_pct"                             "% ПОВРЕЖДЕНИЯ СТРОИТЕЛЬСТВА:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_activation_delay"                                "ЗАДЕРЖКА АКТИВАЦИИ:"
		"DOTA_Tooltip_ability_holdout_death_coil_alt_projectile_speed"                                    "СКОРОСТЬ СНАРЯДА:"
		"DOTA_Tooltip_ability_holdout_frozen_tempest_nova_tick"                                           "НОВА ТИК:"
		"DOTA_Tooltip_ability_holdout_lordaeron_smash_push_length"                                        "ДЛИНА НАЖИМА:"
		"DOTA_Tooltip_ability_holdout_frost_breath_wave_speed"                                            "СКОРОСТЬ ВОЛНЫ:"
		"DOTA_Tooltip_ability_holdout_frost_breath_knockback_distance_max"                                "МАКС. РАССТОЯНИЕ ОТДАЧИ:"
		"DOTA_Tooltip_ability_holdout_frost_breath_knockback_height"                                      "ВЫСОТА ОТДАЧИ:"
		"DOTA_Tooltip_ability_holdout_frost_breath_duration_per_second"                                   "ПРОДОЛЖИТЕЛЬНОСТЬ В СЕКУНДУ:"
		"DOTA_Tooltip_ability_holdout_frost_chaos_tick_rate"                                              "ТИКОВАЯ СТАВКА:"
		"DOTA_Tooltip_ability_holdout_healing_wave_max_targets"                                           "МАКС. ЦЕЛЕЙ:"
		"DOTA_Tooltip_ability_holdout_healing_wave_damage"                                                "УРОН:"
		"DOTA_Tooltip_ability_holdout_healing_wave_heal_pct"                                              "%МАКС. ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_holdout_fan_of_light_projectile_speed"                                      "СКОРОСТЬ СНАРЯДА:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_wave_speed"                                          "СКОРОСТЬ ВОЛНЫ:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_wave_width"                                          "ШИРИНА ВОЛНЫ:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_vision_aoe"                                          "ВИДЕНИЕ АОЕ:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_wave_range"                                          "ВОЛНОВОЙ ДИАПАЗОН:"
		"DOTA_Tooltip_ability_holdout_taunt_radius"                                                       "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_taunt_max_units"                                                    "МАКС. ЕДИНИЦЫ:"
		"DOTA_Tooltip_ability_xhs_brewmaster_drunken_haze_projectile_speed"                               "СКОРОСТЬ СНАРЯДА:"
		"DOTA_Tooltip_ability_holdout_dragon_slave_speed"                                                 "СКОРОСТЬ:"
		"DOTA_Tooltip_ability_holdout_permanent_immolation_radius"                                        "РАДИУС:"
		"DOTA_Tooltip_ability_holdout_permanent_immolation_damage_per_tick"                               "УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_holdout_permanent_immolation_tick_time"                                     "ТИКОВАЯ СТАВКА:"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_start_radius"                                         "НАЧАЛЬНЫЙ РАДИУС:"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_end_radius"                                           "КОНЕЧНЫЙ РАДИУС:"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_speed"                                                "СКОРОСТЬ:"
		"DOTA_Tooltip_ability_holdout_chaos_travel_speed"                                                 "СКОРОСТЬ ДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_chaos_vision_distance"                                              "РАССТОЯНИЕ ЗРЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_chaos_end_vision_duration"                                          "ПРОДОЛЖИТЕЛЬНОСТЬ КОНЕЧНОГО ВИДЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_chaos_burn_dps_inverval"                                            "СЖИГАНИЕ ДПС ИНВЕРВАЛ:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_speed"                                             "СКОРОСТЬ ВЗРЫВА:"
		"DOTA_Tooltip_ability_holdout_death_coil_tooltip_slow_duration"                                   "ПРОДОЛЖИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ В ПОДСКАЗКЕ:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_slow"                                              "% ЗАМЕДЛЕНИЯ:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_dot_duration"                                      "ПРОДОЛЖИТЕЛЬНОСТЬ ВЗРЫВНОЙ ТОЧКИ:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_dot_damage"                                        "ПОВРЕЖДЕНИЕ ВЗРЫВНЫХ ТОЧЕК:"
		"DOTA_Tooltip_ability_holdout_sleep_nightmare_dot_interval"                                       "ИНТЕРВАЛ КОШМАРНЫХ ТОЧЕК:"
		"DOTA_Tooltip_ability_holdout_sleep_animation_rate"                                               "СКОРОСТЬ АНИМАЦИИ:"
		"DOTA_Tooltip_ability_holdout_sleep_aura_radius"                                                  "РАДИУС АУРЫ:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_duration"                                          "ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_seek_radius"                                       "ПОИСК РАДИУСА:"
		"DOTA_Tooltip_ability_holdout_spiritual_beast_value"                                              "ЗНАЧЕНИЕ:"
		"DOTA_Tooltip_ability_holdout_spiritual_beast_special_bonus_facet_lycan_spirit_wolves"            "СПЕЦИАЛЬНЫЙ БОНУС ГРАНИ LYCAN SPIRIT WOLVES:"
		"DOTA_Tooltip_ability_holdout_cripple_extra_incoming_damage"                                      "%ДОПОЛНИТЕЛЬНОГО ВХОДЯЩЕГО УРОНА:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_spirit_speed"                                        "СКОРОСТЬ ДУХА:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_max_distance"                                        "МАКС. РАССТОЯНИЕ:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_give_up_distance"                                    "Откажитесь от расстояния:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_min_damage"                                          "МИН. УЩЕРБ:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_max_damage"                                          "МАКСИМАЛЬНЫЙ УРОН:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_delay_between_spirits"                               "ЗАДЕРЖКА МЕЖДУ ДУХАМИ:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_min_time_between_attacks"                            "МИН. ВРЕМЯ МЕЖДУ АТАКИМИ:"
		"DOTA_Tooltip_ability_holdout_evasion_transparency_fade"                                          "ПРОЗРАЧНОСТЬ ВЫТЕКАЕТ:"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_damage_modifier"                                    "МОДИФИКАТОР УРОНА:"
