"lang"
{
	"Language"	"Turkish"
	"Tokens"
	{
		// GENERATED FROM THE COMPLETE XHS TRANSIFEX CATALOG
		"DOTA_Tooltip_ability_roshan_stormbolt_Description"                                               "Düşmana sihirli bir çekiç fırlatır.Çarpma anında düşmanlar %bolt_aoe% yarıçapı almak %AbilityDamage% büyülü hasar ve şaşkına döndüler %bolt_stun_duration% saniye."
		"DOTA_Tooltip_ability_roshan_stormbolt_bolt_speed"                                                "MERMI HIZI:"
		"DOTA_Tooltip_ability_roshan_stormbolt_bolt_aoe"                                                  "YARIÇAP:"
		"DOTA_Tooltip_ability_roshan_stormbolt_vision_radius"                                             "GÖRÜŞ YARIÇAPI:"
		"DOTA_Tooltip_ability_campfire"                                                                   "Kamp ateşi"
		"DOTA_Tooltip_ability_campfire_Description"                                                       "Yakındaki müttefik birimlerin sağlığını ve manasını yeniler."
		"DOTA_Tooltip_ability_campfire_aura_radius"                                                       "AURA YARIÇAPI:"
		"DOTA_Tooltip_ability_campfire_aura_mana_regen"                                                   "AURA MANA YENİLENMESİ:"
		"DOTA_Tooltip_ability_campfire_aura_hp_regen"                                                     "AURA SAĞLIK YENİLENMESİ:"
		"DOTA_Tooltip_ability_treasure_chest"                                                             "Hazine Sandığı"
		"DOTA_Tooltip_ability_treasure_chest_Description"                                                 "Yok edildiğinde depolanan ödülleri serbest bırakan kırılabilir hedef."
		"DOTA_Tooltip_ability_creature_techies_land_mine"                                                 "Teknisyenler Kara Mayını"
		"DOTA_Tooltip_ability_creature_techies_land_mine_Description"                                     "Bir düşman yaklaştığında patlayan patlayıcı bir mayın yerleştirir."
		"DOTA_Tooltip_ability_creature_techies_land_mine_radius"                                          "YARIÇAP:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_proximity_threshold"                             "YAKINLIK EŞİĞİ:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_damage"                                          "HASAR:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_burn_duration"                                   "YANMA SÜRESİ:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_building_damage_pct"                             "%BİNA HASARI:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_activation_delay"                                "AKTİVASYON GECİKMESİ:"
		"DOTA_Tooltip_ability_holdout_death_coil_alt_projectile_speed"                                    "MERMI HIZI:"
		"DOTA_Tooltip_ability_holdout_frozen_tempest_nova_tick"                                           "NOVA TİK:"
		"DOTA_Tooltip_ability_holdout_lordaeron_smash_push_length"                                        "BASMA UZUNLUĞU:"
		"DOTA_Tooltip_ability_holdout_frost_breath_wave_speed"                                            "DALGA HIZI:"
		"DOTA_Tooltip_ability_holdout_frost_breath_knockback_distance_max"                                "MAKS. GERİ TUTMA MESAFESİ:"
		"DOTA_Tooltip_ability_holdout_frost_breath_knockback_height"                                      "GERİ TUTMA YÜKSEKLİĞİ:"
		"DOTA_Tooltip_ability_holdout_frost_breath_duration_per_second"                                   "SANİYE BAŞINA SÜRE:"
		"DOTA_Tooltip_ability_holdout_frost_chaos_tick_rate"                                              "TİK ORANI:"
		"DOTA_Tooltip_ability_holdout_healing_wave_max_targets"                                           "AZAMİ HEDEF:"
		"DOTA_Tooltip_ability_holdout_healing_wave_damage"                                                "HASAR:"
		"DOTA_Tooltip_ability_holdout_healing_wave_heal_pct"                                              "%MAKS SAĞLIK İYİLEŞMESİ:"
		"DOTA_Tooltip_ability_holdout_fan_of_light_projectile_speed"                                      "MERMI HIZI:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_wave_speed"                                          "DALGA HIZI:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_wave_width"                                          "DALGA GENİŞLİĞİ:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_vision_aoe"                                          "VİZYON AOE'si:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_wave_range"                                          "DALGA ARALIĞI:"
		"DOTA_Tooltip_ability_holdout_taunt_radius"                                                       "YARIÇAP:"
		"DOTA_Tooltip_ability_holdout_taunt_max_units"                                                    "MAKS. BİRİMLER:"
		"DOTA_Tooltip_ability_xhs_brewmaster_drunken_haze_projectile_speed"                               "MERMI HIZI:"
		"DOTA_Tooltip_ability_holdout_dragon_slave_speed"                                                 "HIZ:"
		"DOTA_Tooltip_ability_holdout_permanent_immolation_radius"                                        "YARIÇAP:"
		"DOTA_Tooltip_ability_holdout_permanent_immolation_damage_per_tick"                               "SANİYE BAŞINA HASAR:"
		"DOTA_Tooltip_ability_holdout_permanent_immolation_tick_time"                                     "TİK ORANI:"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_start_radius"                                         "BAŞLANGIÇ YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_end_radius"                                           "BİTİŞ YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_speed"                                                "HIZ:"
		"DOTA_Tooltip_ability_holdout_chaos_travel_speed"                                                 "SEYAHAT HIZI:"
		"DOTA_Tooltip_ability_holdout_chaos_vision_distance"                                              "GÖRÜŞ MESAFESİ:"
		"DOTA_Tooltip_ability_holdout_chaos_end_vision_duration"                                          "SON VİZYON SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_chaos_burn_dps_inverval"                                            "YANMA DPS ÇEVİRİSİ:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_speed"                                             "PATLAMA HIZI:"
		"DOTA_Tooltip_ability_holdout_death_coil_tooltip_slow_duration"                                   "İPUCU YAVAŞLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_slow"                                              "% PATLAMA YAVAŞLATMA:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_dot_duration"                                      "PATLAMA NOKTA SÜRESİ:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_dot_damage"                                        "PATLAMA NOKTA HASARI:"
		"DOTA_Tooltip_ability_holdout_sleep_nightmare_dot_interval"                                       "KABUS NOKTA ARALIĞI:"
		"DOTA_Tooltip_ability_holdout_sleep_animation_rate"                                               "ANİMASYON ORANI:"
		"DOTA_Tooltip_ability_holdout_sleep_aura_radius"                                                  "AURA YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_duration"                                          "SÜRE:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_seek_radius"                                       "YARIÇAP ARAYIN:"
		"DOTA_Tooltip_ability_holdout_spiritual_beast_value"                                              "DEĞER:"
		"DOTA_Tooltip_ability_holdout_spiritual_beast_special_bonus_facet_lycan_spirit_wolves"            "ÖZEL BONUS FACET LYCAN RUHU KURTLARI:"
		"DOTA_Tooltip_ability_holdout_cripple_extra_incoming_damage"                                      "%EKSTRA GELEN HASAR:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_spirit_speed"                                        "RUH HIZI:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_max_distance"                                        "MAKS. MESAFE:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_give_up_distance"                                    "MESAFEDEN VAZGEÇİN:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_min_damage"                                          "MİNİMUM HASAR:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_max_damage"                                          "MAKS. HASAR:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_delay_between_spirits"                               "RUHLAR ARASINDAKİ GECİKME:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_min_time_between_attacks"                            "SALDIRILAR ARASINDAKİ MİNİMUM SÜRE:"
		"DOTA_Tooltip_ability_holdout_evasion_transparency_fade"                                          "ŞEFFAFLIK SOLMA:"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_damage_modifier"                                    "HASAR DEĞİŞTİRİCİ:"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_split_shot_bonus_range"                             "BÖLÜNMÜŞ ATIŞ BONUS ARALIĞI:"
		"DOTA_Tooltip_ability_holdout_endurance_aura_endurance_bonus_movement_speed"                      "%DAYANIKLILIK İLAVE HAREKET HIZI:"
		"DOTA_Tooltip_ability_holdout_active_immolation_tick_time"                                        "TİK ORANI:"
		"DOTA_Tooltip_ability_xhs_vampiric_aura_aura_stickyness"                                          "AURA YAPIŞKANLIĞI:"
		"DOTA_Tooltip_ability_holdout_illidan_evasion_transparency_fade"                                  "ŞEFFAFLIK SOLMA:"
		"DOTA_Tooltip_ability_holdout_illidan_evasion_radius"                                             "YARIÇAP:"
		"DOTA_Tooltip_ability_holdout_metamorphosis_bonus_range"                                          "BONUS ARALIĞI:"
		"DOTA_Tooltip_ability_holdout_shockwave_end_radius"                                               "BİTİŞ YARIÇAPI:"
