"lang"
{
	"Language"	"Vietnamese"
	"Tokens"
	{
		// GENERATED FROM THE COMPLETE XHS TRANSIFEX CATALOG
		"DOTA_Tooltip_ability_roshan_stormbolt_Description"                                               "Ném một cây búa ma thuật vào kẻ thù.Khi va chạm, kẻ thù trong một %bolt_aoe% bán kính lấy %AbilityDamage% sát thương phép thuật và bị choáng trong %bolt_stun_duration% giây."
		"DOTA_Tooltip_ability_roshan_stormbolt_bolt_speed"                                                "TỐC ĐỘ ĐẠN:"
		"DOTA_Tooltip_ability_roshan_stormbolt_bolt_aoe"                                                  "BÁN KÍNH:"
		"DOTA_Tooltip_ability_roshan_stormbolt_vision_radius"                                             "BÁNH TẦM TẦM NHÌN:"
		"DOTA_Tooltip_ability_campfire"                                                                   "Lửa trại"
		"DOTA_Tooltip_ability_campfire_Description"                                                       "Phục hồi sức khỏe và năng lượng cho các đơn vị đồng minh gần đó."
		"DOTA_Tooltip_ability_campfire_aura_radius"                                                       "Bán kính hào quang:"
		"DOTA_Tooltip_ability_campfire_aura_mana_regen"                                                   "AURA NĂNG LƯỢNG PHỤC HỒI:"
		"DOTA_Tooltip_ability_campfire_aura_hp_regen"                                                     "AURA SỨC KHỎE PHỤC HỒI:"
		"DOTA_Tooltip_ability_treasure_chest"                                                             "Rương kho báu"
		"DOTA_Tooltip_ability_treasure_chest_Description"                                                 "Mục tiêu có thể phá vỡ sẽ giải phóng phần thưởng được lưu trữ khi bị phá hủy."
		"DOTA_Tooltip_ability_creature_techies_land_mine"                                                 "Mỏ đất Techies"
		"DOTA_Tooltip_ability_creature_techies_land_mine_Description"                                     "Đặt một quả mìn nổ phát nổ khi kẻ địch đến gần."
		"DOTA_Tooltip_ability_creature_techies_land_mine_radius"                                          "BÁN KÍNH:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_proximity_threshold"                             "NGƯỠNG LẦN GẦN:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_damage"                                          "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_burn_duration"                                   "THỜI GIAN CHÁY:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_building_damage_pct"                             "% THIỆT HẠI TÒA NHÀ:"
		"DOTA_Tooltip_ability_creature_techies_land_mine_activation_delay"                                "TRÌ HOÃN KÍCH HOẠT:"
		"DOTA_Tooltip_ability_holdout_death_coil_alt_projectile_speed"                                    "TỐC ĐỘ ĐẠN:"
		"DOTA_Tooltip_ability_holdout_frozen_tempest_nova_tick"                                           "TICK NOVA:"
		"DOTA_Tooltip_ability_holdout_lordaeron_smash_push_length"                                        "CHIỀU DÀI ĐẨY:"
		"DOTA_Tooltip_ability_holdout_frost_breath_wave_speed"                                            "TỐC ĐỘ SÓNG:"
		"DOTA_Tooltip_ability_holdout_frost_breath_knockback_distance_max"                                "KHOẢNG CÁCH LẬP LẠI TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_frost_breath_knockback_height"                                      "CHIỀU CAO TUYỆT VỜI:"
		"DOTA_Tooltip_ability_holdout_frost_breath_duration_per_second"                                   "THỜI GIAN MỖI GIÂY:"
		"DOTA_Tooltip_ability_holdout_frost_chaos_tick_rate"                                              "TỶ LỆ TICK:"
		"DOTA_Tooltip_ability_holdout_healing_wave_max_targets"                                           "SỐ MỤC TIÊU TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_healing_wave_damage"                                                "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_holdout_healing_wave_heal_pct"                                              "%SỨC MẠNH TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_fan_of_light_projectile_speed"                                      "TỐC ĐỘ ĐẠN:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_wave_speed"                                          "TỐC ĐỘ SÓNG:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_wave_width"                                          "CHIỀU RỘNG SÓNG:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_vision_aoe"                                          "TẦM NHÌN AOE:"
		"DOTA_Tooltip_ability_holdout_howl_of_terror_wave_range"                                          "PHẠM VI SÓNG:"
		"DOTA_Tooltip_ability_holdout_taunt_radius"                                                       "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_taunt_max_units"                                                    "ĐƠN VỊ TỐI ĐA:"
		"DOTA_Tooltip_ability_xhs_brewmaster_drunken_haze_projectile_speed"                               "TỐC ĐỘ ĐẠN:"
		"DOTA_Tooltip_ability_holdout_dragon_slave_speed"                                                 "TỐC ĐỘ:"
		"DOTA_Tooltip_ability_holdout_permanent_immolation_radius"                                        "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_permanent_immolation_damage_per_tick"                               "SÁT THƯƠNG MỖI GIÂY:"
		"DOTA_Tooltip_ability_holdout_permanent_immolation_tick_time"                                     "TỶ LỆ TICK:"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_start_radius"                                         "BẮT ĐẦU BẮT ĐẦU:"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_end_radius"                                           "BÁNH GIÁ KẾT THÚC:"
		"DOTA_Tooltip_ability_holdout_carrion_swarm_speed"                                                "TỐC ĐỘ:"
		"DOTA_Tooltip_ability_holdout_chaos_travel_speed"                                                 "TỐC ĐỘ DU LỊCH:"
		"DOTA_Tooltip_ability_holdout_chaos_vision_distance"                                              "KHOẢNG CÁCH TẦM NHÌN:"
		"DOTA_Tooltip_ability_holdout_chaos_end_vision_duration"                                          "KẾT THÚC THỜI GIAN TẦM NHÌN:"
		"DOTA_Tooltip_ability_holdout_chaos_burn_dps_inverval"                                            "ĐỐT ĐỐI THỦ DPS:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_speed"                                             "TỐC ĐỘ NỔ:"
		"DOTA_Tooltip_ability_holdout_death_coil_tooltip_slow_duration"                                   "THỜI GIAN CHẬM MẸO CÔNG CỤ:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_slow"                                              "% TUYỆT VỜI CHẬM:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_dot_duration"                                      "THỜI GIAN CHẤM NỔ:"
		"DOTA_Tooltip_ability_holdout_death_coil_blast_dot_damage"                                        "THIỆT HẠI CHẤM NỔ:"
		"DOTA_Tooltip_ability_holdout_sleep_nightmare_dot_interval"                                       "KHOẢNG CÁCH CHẤM Ác Mộng:"
		"DOTA_Tooltip_ability_holdout_sleep_animation_rate"                                               "TỶ LỆ HÌNH ẢNH:"
		"DOTA_Tooltip_ability_holdout_sleep_aura_radius"                                                  "Bán kính hào quang:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_duration"                                          "THỜI GIAN:"
		"DOTA_Tooltip_ability_holdout_rain_of_chaos_20_seek_radius"                                       "TÌM KIẾM BÁNH GIÁ:"
		"DOTA_Tooltip_ability_holdout_spiritual_beast_value"                                              "GIÁ TRỊ:"
		"DOTA_Tooltip_ability_holdout_spiritual_beast_special_bonus_facet_lycan_spirit_wolves"            "PHẦN THƯỞNG ĐẶC BIỆT LYCAN SPIRIT WOLVES:"
		"DOTA_Tooltip_ability_holdout_cripple_extra_incoming_damage"                                      "% THIỆT HẠI ĐẾN:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_spirit_speed"                                        "TỐC ĐỘ TINH THẦN:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_max_distance"                                        "KHOẢNG CÁCH TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_give_up_distance"                                    "BỎ KHOẢNG CÁCH:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_min_damage"                                          "THIỆT HẠI TỐI THIỂU:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_max_damage"                                          "SÁT THƯƠNG TỐI ĐA:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_delay_between_spirits"                               "TRÌ HOÃN GIỮA TINH THẦN:"
		"DOTA_Tooltip_ability_holdout_gargoyle_swarm_min_time_between_attacks"                            "THỜI GIAN TỐI THIỂU GIỮA CÁC TẤN CÔNG:"
		"DOTA_Tooltip_ability_holdout_evasion_transparency_fade"                                          "MINH BẠCH MỜ:"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_damage_modifier"                                    "CÔNG CỤ SỬA ĐỔI THIỆT HẠI:"
		"DOTA_Tooltip_ability_tyrande_multiple_arrows_split_shot_bonus_range"                             "PHẠM VI THƯỞNG PHÁT CHIA:"
		"DOTA_Tooltip_ability_holdout_endurance_aura_endurance_bonus_movement_speed"                      "TỐC ĐỘ DI CHUYỂN THƯỞNG % SỨC BỀN:"
		"DOTA_Tooltip_ability_holdout_active_immolation_tick_time"                                        "TỶ LỆ TICK:"
